Place,Name,Latitude,Longitude,Junior
Nostell,Nostell Priory,-1.38124100,53.65021200,0
Nova Prestatyn,Nova Centre,-3.41418300,53.34212600,0
Oak Hill,"Oak Hill Park, East Barnet",-0.15374400,51.63771800,0
Oaklands,Oaklands Recreation Ground,-1.81801300,52.46639100,0
Oakwell Hall,Oakwell Hall Country Park,-1.67159600,53.73943700,0
Old Deer Park,"Old Deer Park, Richmond",-0.30697300,51.46441700,0
Oldham,"Alexandra Park, Oldham",-2.10411800,53.53418700,0
Omagh,Omagh,-7.29622200,54.60283700,0
Orangefield,Orangefield & Greenville Park,-5.88436100,54.58850900,0
Oriam,"Oriam, Heriot Watt University",-3.31715000,55.90975400,0
Ormeau,Ormeau Park,-5.91478600,54.58837400,0
Ormskirk,Edge Hill University,-2.86809700,53.55924500,0
Orpington,Goddington Park,0.11722400,51.36528300,0
Osterley,Osterley Park,-0.34988900,51.48940300,0
Oxford,"Cutteslowe and Sunnymead Park, Oxford",-1.26241900,51.79090100,0
Panshanger,Panshanger Park,-0.10758900,51.79606600,0
Parke,Parke Estate,-3.68656200,50.59305000,0
Peacehaven,Centenary Park,0.01241800,50.79409200,0
Peckham Rye,Peckham Rye Park,-0.06068800,51.45548600,0
Pegwell Bay,Pegwell Bay,1.36144600,51.32095700,0
Penallta,Penallta House,-3.24567900,51.64488900,0
Pendle,Holt House Playing Fields,-2.18011000,53.86357100,0
Penistone,Penistone Show Ground,-1.63540700,53.52656800,0
Pennington Flash,Pennington Flash,-2.54274500,53.49160800,0
Penrhyn,Penrhyn Castle,-4.09449500,53.22685200,0
Penrith,Frenchfiel Sports Centre,-2.72053200,54.65802600,0
Penrose,Penrose,-5.29595000,50.08357800,0
Perry Hall,Perry Hall Park,-1.91182500,52.52486000,0
Perth,North Inch and Riverside parks,-3.43542200,56.40515000,0
Peter Pan,Peter Pan Park,-0.40218100,53.73833000,0
Phoenix,Phoenix Park,-2.68162300,53.33786500,0
Plean,Plean Country Park,-3.88160700,56.05779100,0
Plymvalley,Plymbridge Woods,-4.07961800,50.40909100,0
Pocket,Pocket Park,-0.27532700,52.21479700,0
Polkemmet Country,Polkemmet Country Park,-3.72025600,55.86621400,0
Pollok,"Pollok Park, Glasgow",-4.30788200,55.82992000,0
Pomphrey Hill,Pomphrey Hill Playing Fields,-2.47805000,51.47932100,0
Pont y Bala,Lower Tryweryn,-3.59319900,52.91239600,0
Pontefract,Pontefract Racecourse,-1.32574100,53.69722600,0
Pontypool,Pontypool Park,-3.02857300,51.69921300,0
Pontypridd,Ynysangharad War Memorial Park,-3.33902800,51.60200900,0
Poole,"Poole Park, Poole",-1.96887600,50.72034800,0
Poolsbrook,Poolsbrook Country Park,-1.34884200,53.25911800,0
Porthcawl,Porthcawl Seafront,-3.70597600,51.47633100,0
Portobello,Figgate Park,-3.12265600,55.95068900,0
Portrush,"East Strand Beach, Portrush",-6.64878800,55.20463800,0
Portsmouth Lakeside,Lakeside North Harbour,-1.08157000,50.84065400,0
Potternewton,Potternewton Park,-1.52627400,53.81844600,0
Preston Park,Preston Park,-0.14861600,50.84155700,0
Preston,Avenham and Miller Parks,-2.70390200,53.75137400,0
Princes,"Princes Park, Liverpool",-2.95697500,53.38645600,0
Prospect,Prospect Park,-1.00741000,51.44838600,0
Prudhoe Riverside,Tyne Riverside Country Park,-1.86314100,54.96807100,0
Pymmes,"Pymmes Park, Edmonton",-0.06695300,51.61887000,0
Queen Elizabeth,Queen Elizabeth Country Park,-0.97838400,50.95637200,0
Queens,"Queen's Uni Sport, Upper Malone",-5.96338700,54.55509200,0
"Queenâ€™s, Glasgow",Queenâ€™s Park,-4.27007600,55.83350900,0
Raphael,Raphael Park,0.19249000,51.58579800,0
Reading,"Thames Riverside, Reading",-0.94157300,51.46038400,0
Redcar,"Locke Park, Redcar",-1.07902000,54.61522500,0
Reigate Priory,Priory Park,-0.20864400,51.23435000,0
Richmond Park,"Richmond Park, Richmond upon Thames",-0.29288600,51.45196200,0
Rickmansworth,Rickmansworth Aquadrome,-0.47589000,51.63308700,0
Riddlesdown,"Riddlesdown, Warlingham",-0.07954900,51.31848500,0
Rising Sun,The Rising Sun Country Park,-1.53202800,55.01998000,0
Riverfront,The Riverfront,-2.99331700,51.58855900,0
Riverside,"Riverside Park, Chester-le-Street",-1.56327700,54.85398300,0
Roding Valley,Roding Valley Recreation Ground,0.06641500,51.63860700,0
Rogiet,Rogiet Countryside Park,-2.77996500,51.58326800,0
Rosliston,Rosliston Forestry Centre,-1.63968100,52.75452600,0
Ross-on-Wye,Ross-on-Wye Sports Centre,-2.59441700,51.91294300,0
Rostrevor,Kilbroney Park,-6.19344800,54.09948600,0
Rother Valley,Rother Valley Country Park,-1.32022600,53.34150800,0
Rotherham,Rotherham,-1.34321800,53.43053800,0
Rothwell,Springhead Park,-1.47345600,53.75003200,0
Roundhay,"Roundhay Park, Leeds",-1.49600700,53.83828000,0
Roundshaw Downs,"Roundshaw Downs, near South Croydon",-0.11872000,51.35225300,0
Royal Tunbridge Wells,Dunorlan Park,0.28485100,51.13361400,0
Ruchill,Ruchill Park,-4.27616200,55.88453800,0
Rugby,Whinfield Recreation Ground,-1.23846400,52.37318000,0
Rushcliffe,Rushcliffe Country Park,-1.14910400,52.88249700,0
Rushmere,Rushmere Country Park,-0.67409500,51.94705700,0
Rushmoor,Queens Avenue,-0.75584700,51.26579800,0
Rutland Water,Rutland Water Reservoir,-0.62444700,52.64371200,0
Salcey Forest,Salcey Forest,-0.84155600,52.15922300,0
Sale Water,Sale Water Park,-2.29454500,53.42958500,0
Salisbury,Churchill Gardens,-1.78985800,51.06152800,0
Sandhurst Memorial,Sandhurst Memorial Park,-0.79169400,51.34382500,0
Sandwell Valley,Sandwell Park Farm,-1.97579000,52.52153100,0
Scunthorpe,Central Park,-0.65647600,53.58175500,0
Seaford Beach,Newhaven and Seaford Sailing Club,0.07956600,50.77898600,0
Seaton,Seaton Esplanade,-3.07206400,50.70334900,0
Sedgefield,"Hardwick Park, Sedgefield",-1.46628900,54.65300800,0
Selby,Selby,-1.07839800,53.75182400,0
Seven Fields,Seven Fields Nature Reserve and Penhill Sports Fie,-1.78171100,51.58661900,0
Severn Bridge,Severn Bridge,-2.66453100,51.61901400,0
Severn Valley Country,Severn Valley Country Park,-2.36484200,52.45331600,0
Sewerby,"Sewerby Hall and Gardens, Bridlington",-0.16076100,54.10326800,0
Sheffield Castle,Manor Fields Park,-1.43682700,53.36678200,0
Sheffield Hallam,"Endcliffe Park, Sheffield",-1.50581400,53.36844600,0
Shepton Mallet,Collett Park,-2.54246100,51.18751300,0
Sheringham,Sheringham Park,1.18060100,52.92877500,0
Sherwood Pines,Sherwood Pines Forest Park,-1.08483900,53.16582800,0
Shipley Country,Shipley Country Park,-1.35997800,53.00833900,0
Shorne Woods,Shorne Woods Country Park,0.41861800,51.40442600,0
Shrewsbury,The Quarry,-2.75921000,52.70694200,0
Silksworth,"Silksworth Sports Centre, Sunderland",-1.40909900,54.88391100,0
Sittingbourne,Milton Creek Country Park,0.74079300,51.35545300,0
Sixfields Upton,Upton Country Park,-0.94223600,52.22852800,0
Sixmilewater,Sixmilewater Park,-5.99894500,54.75000400,0
Sizewell,Beach car park,1.62219300,52.21016700,0
Skegness Boating Lake,Skegness Boating Lake,0.34552700,53.14069700,0
Skipton,Aireville Park,-2.03000400,53.96133100,0
Sloughbottom,"Sloughbottom Park,",1.26699400,52.64725500,0
Snowden Field,Snowden Field,-0.16473100,52.67399500,0
Soham Village College,Soham Village College,0.33806400,52.32973700,0
Somerdale Pavilion,Somerdale Pavilion,-2.49568900,51.42646900,0
South Manchester,Platt Fields Park,-2.22468900,53.44607200,0
South Norwood,South Norwood Country Park,-0.05990800,51.39611100,0
South Oxhey,South Oxhey Playing Fields,-0.39865300,51.63225500,0
South Shields,South Shields,-1.40805200,54.99568700,0
South Woodham Ferrers,Marsh Farm Country Park,0.61301400,51.63164200,0
Southampton,Southampton Common,-1.40776600,50.92362400,0
Southend,Gunners Park,0.78752600,51.52343100,0
Southport,Hesketh Park,-2.98534100,53.65627600,0
Southsea,Southsea Esplanade,-1.08131600,50.77885300,0
Southwark,Southwark Park,-0.05315100,51.49424200,0
Southwick Country Park,Southwick Country Park,-2.23409200,51.30646100,0
Springburn,Springburn Park,-4.22482300,55.88985700,0
Squerryes Winery,Squerryes Winery,0.08667000,51.27598600,0
St Albans,"Verulam Park, St Albans",-0.35537100,51.75193000,0
St Andrews,Craigtoun Country Park,-2.83823400,56.31771100,0
St Helens,Victoria Park,-2.74408800,53.46322000,0
St Mary's,"Bridport FC, St.Mary's Field",-2.76074400,50.72945600,0
Stamford Park,Stamford Park,-2.06616300,53.49090100,0
Stevenage,Six Hills Way,-0.17993000,51.90263400,0
Stewart,"Stewart Park, Middlesbrough",-1.20356100,54.53809000,0
Stonehaven,Mineralwell Park,-2.21250200,56.96999300,0
Stonehouse,Oldends Lane Playing Fields,-2.28780400,51.75255400,0
Stormont,Stormont Estate,-5.83774900,54.59831800,0
Storthes Hall,Storthes Hall Park,-1.72201200,53.60793200,0
Stranmillis College,Stranmillis University College,-5.93882800,54.57270800,0
"Stratford Park, Stroud",Stratford Park,-2.22500700,51.74897000,0
Stratford-upon-Avon,Stratford-upon-Avon,-1.70144500,52.18499800,0
Strathclyde,Strathclyde Country Park,-4.03142500,55.78963100,0
Street,Strode College Sports Centre,-2.72908900,51.12951500,0
Stretford,Longford Park,-2.29028100,53.44612100,0
Sunny Hill,Sunny Hill Park,-0.22971700,51.59819300,0
Sutton Manor,Sutton Manor Colliery,-2.72690100,53.41139200,0
Sutton Park,Sutton Park,-1.86712900,52.55850500,0
Swaffham,The Nicolas Hamond Academy Sports Fields,0.68846100,52.63860700,0
Swansea Bay,Swansea Bay,-3.96984800,51.61046300,0
Tamar Lakes,Upper Tamar Lakes,-4.43341800,50.87983700,0
Tamar Trails,Tamar Trails Centre,-4.20176300,50.53516300,0
Tawd Valley,Tawd Valley Park,-2.77582900,53.55028100,0
Tees Barrage,"Tees Barrage, Middlesbrough",-1.28739600,54.56484600,0
Teignmouth Promenade,Teignmouth Promenade,-3.49498700,50.54442800,0
Telford,Telford Town Park,-2.44793400,52.67123000,0
Temple Newsam,Temple Newsam Estate,-1.45646100,53.78478100,0
Tetbury Goods Shed,Tetbury Goods Shed,-2.15581800,51.63722200,0
Tewkesbury,Tewkesbury,-2.15937300,51.98766600,0
The Leas,The Leas,0.80213000,51.43403800,0
The Old Showfield,The Old Showfield,-2.30823800,51.23618600,0
The Pastures,The Pastures,-1.70539300,55.41845500,0
The Wammy,The Wammy,-2.23870100,53.01781100,0
Thetford,Abbey Meadows,0.74376600,52.41560000,0
Thomas Mills,Thomas Mills High School,1.32598100,52.22837500,0
Thornbury,Mundy Playing Fields,-2.53011400,51.60636800,0
Thurrock,Pyramid Centre,0.36343600,51.49142700,0
Thurso,Thurso Boating Pond,-3.52155400,58.58957300,0
Tilgate,"Tilgate Park, Crawley",-0.17562300,51.09700000,0
Tollcross,Tollcross,-4.17946100,55.84749400,0
Tonbridge,Juddians Rugby Club,0.27017400,51.19760500,0
Tooting Common,Tooting Common,-0.14677000,51.43334200,0
Torbay Velopark,Torbay Velopark,-3.56429700,50.42344100,0
Trelissick,Kilbroney Park,-5.02826000,50.21733100,0
Tremorfa,Tremorfa Park,-3.13272700,51.48623700,0
Tring,Tring Park,-0.65959900,51.78663400,0
Troon,South Beach Esplanade,-4.67005800,55.54141300,0
Tyne Green,Tyne Green,-2.10152600,54.97787800,0
Uckfield,Uckfield Rugby Club,0.11306000,50.97785700,0
University of Stirling,Stranmillis University College,-3.92423600,56.14733400,0
Upton Court,Upton Court Park,-0.57752500,51.49616000,0
Upton House,Upton Country Park,-2.01342800,50.73489100,0
Ury Riverside,Ury Riverside Park,-2.37206200,57.29195300,0
Valentines,"Valentines Park, Redbridge",0.07198000,51.56749000,0
Valley,Valley Leisure Centre,-5.92834200,54.65994900,0
Victoria Dock,Victoria Dock,0.01877500,51.50536300,0
Victoria,Victoria Park,-4.33234700,55.87750400,0
Vogrie,Vogrie Country Park,-2.99501200,55.85687900,0
Wakefield Thornes,Thornes Park,-1.50968200,53.67248800,0
Wallace,Wallace Park,-6.03681600,54.51651100,0
Walmer and Deal Seafront,The Beach,1.40317900,51.20950000,0
Walsall Arboretum,Walsall Arboretum,-1.96625200,52.58725000,0
Walthamstow,Highams Park,-0.00785400,51.60266600,0
Wanstead Flats,"Wanstead Flats, Epping Forest",0.01497700,51.56078000,0
Warrington,Victoria Park,-2.57468500,53.38422100,0
Warwick Racecourse,Warwick Racecourse,-1.59595400,52.28078900,0
Watergrove,Watergrove Reservoir,-2.13177700,53.65703400,0
Watermeadows,Watermeadows,-0.98839100,52.13458000,0
Waterworks,"Waterworks, North Belfast",-5.94261300,54.61929900,0
Wendover Woods,Wendover Woods,-0.71678200,51.76894000,0
Wepre,Wepre Park,-3.05684600,53.20555200,0
Westmill,Westmill Farm,-0.06081300,51.82142200,0
Wetherby,Wetherby Sports Association,-1.39219700,53.92567300,0
Weymouth,Lodmoor County Park,-2.44739800,50.62672800,0
Whinlatter Forest,Whinlatter Forest Park,-3.22446000,54.61001700,0
Whitehaven,"Whitehaven Cycle Track,",-3.57363600,54.52473300,0
Whiteley,Whiteley Meadowside,-1.24792600,50.88563200,0
Whitley Bay,Whitley Bay Links Common,-1.44873600,55.04887500,0
Whitstable,Whitstable Promenade,1.04194200,51.36529500,0
Widnes,Victoria Park,-2.73006900,53.37450800,0
Wilmslow,The Carrs Park,-2.23158800,53.33128800,0
Wimbledon Common,Wimbledon Common,-0.23221500,51.44207800,0
Wimpole Estate,Wimpole Estate,-0.04720700,52.14044200,0
Winchester,North Walls Recreation Ground,-1.31084900,51.06928600,0
Windy Nook,Windy Nook Nature Park,-1.56302500,54.94018900,0
Witney,West Witney Sports & Social Club,-1.51335600,51.78997400,0
Witton,Witton Country Park,-2.51721100,53.74055000,0
Woking,Woking Park,-0.55620400,51.31170800,0
Wolverhampton,West Park,-2.14087500,52.58877500,0
Woodbank,"Woodbank Park, Stockport",-2.13094500,53.40840500,0
Woodhouse Moor,"Woodhouse Moor, Leeds",-1.56005900,53.80858200,0
Woodley,Woodford Park,-0.90366900,51.45418000,0
Woolacombe Dunes,Woolacombe Dunes,-4.20998200,51.15926400,0
Worcester Pitchcroft,"The Pitchcroft, Worcester Racecourse",-2.23196400,52.20151300,0
Worcester,Worcester Woods Country Park,-2.17872600,52.18698900,0
Workington,Workington Leisure Centre,-3.53976700,54.64716900,0
Wormwood Scrubs,Wormwood Scrubs Park,-0.23852300,51.52041200,0
Worsley Woods,"Worsley Woods, Salford",-2.35905600,53.49432800,0
Worthing,Worthing promenade,-0.36450000,50.81031200,0
Wotton,Wotton Community Parc,-2.36911700,51.63344300,0
Wycombe Rye,The Rye,-0.74009000,51.62337000,0
Wyre Forest,Wyre Forest,-2.36979800,52.36500200,0
Wythenshawe,"Wythenshawe Park, Wythenshawe",-2.28813900,53.40550200,0
Yeovil Montacute,Montacute House,-2.71297900,50.95148500,0
York,York Racecourse,-1.10137900,53.93537500,0
Aberystwyth juniors,Plas Crug Park,-4.07840200,52.41288500,1
Acton juniors,Acton Park,-0.25806200,51.50790500,1
Alderman Kneeshaw juniors,Alderman Kneeshaw Recreation Ground,-0.26229100,53.76945400,1
"Alexandra juniors, Moss Side",Alexandra Park,-2.24863100,53.45072500,1
"Alexandra juniors, Oldham",Alexandra Park,-2.10429800,53.53302200,1
Alyn Waters juniors,Alyn Waters Country Park,-3.01803900,53.08392600,1
Andover juniors,Charlton Sports Fields,-1.50481200,51.22090100,1
Ashford juniors,Victoria park,0.86233000,51.14497500,1
Ashlyns juniors,Ashlyns School,-0.56325000,51.75202800,1
Avenham Park juniors,Avenham and Miller Park,-2.69908400,53.75328100,1
Aylesbury juniors,Meadowcroft Open Space,-0.82993500,51.82960100,1
Aylestone juniors,Aylestone Recreation Ground,-1.13424800,52.60973700,1
Bailey juniors,Bailey Park,-3.01679600,51.82662900,1
Bangor juniors,Bangor Sportsplex,-5.70915300,54.65061200,1
Barking and Dagenham juniors,Central Park,0.15677000,51.55997400,1
Barnsley juniors,Locke Park,-1.48617000,53.54438000,1
Barnstaple juniors,Rock Park,-4.05390400,51.07180100,1
Barrow juniors,Barrow Park,-3.21875800,54.11652600,1
Barry juniors,Romilly Park,-3.29137700,51.39348500,1
Barshaw juniors,Barshaw Park,-4.39472500,55.84851000,1
Basingstoke juniors,Stratton Park,-1.12867500,51.25219700,1
Bath Odd Down juniors,Odd Down Sports Ground,-2.37618100,51.36316400,1
Battery Park juniors,Battery Park,-4.80000300,55.96119800,1
Beaumont Park juniors,Beaumont Park,-1.81123700,53.62293400,1
Bedford juniors,Jubilee Park,-0.44978100,52.12429800,1
Beehive juniors,King George V Playing Fields,-0.18967700,51.78892700,1
Belfast Victoria juniors,"Victoria Park, Belfast",-5.87045600,54.60999800,1
Betteshanger juniors,Betteshanger Country Park,1.37111100,51.23600100,1
Billingham juniors,John Whitehead Park,-1.28973500,54.61024700,1
Birches Valley juniors,Birches Valley,-1.96897100,52.75090600,1
Bloxwich juniors,King George V Memorial Playing Fields,-2.00652500,52.62524600,1
Bodington juniors,Bodington Cycle Circuit and Playing Fiel,-1.59027500,53.84153700,1
Bodmin juniors,Hillside Park,-4.73101000,50.47431300,1
Bognor Regis juniors,Arena Sports Centre,-0.69381900,50.79276500,1
Bold Forest juniors,Colliers Moss North,-2.68652000,53.44106100,1
Boston Road Rec juniors,Boston Road Recreation Ground,-0.40055000,52.99706500,1
Bracknell juniors,Great Hollands Recreation Ground,-0.77806700,51.38949300,1
Bramley juniors,Bramley Park,-1.63404600,53.81364000,1
Breckland Leisure Centre juniors,Breckland Leisure Centre Leisure,0.74782900,52.42182600,1
Brentwood juniors,Weald Country Park,0.26597800,51.62385400,1
Bridgend juniors,Newbridge Fields,-3.58329800,51.50299300,1
Brighouse juniors,Wellholme Park,-1.77645900,53.70627000,1
Broadmeadow juniors,Lakeland Forum,-7.64310300,54.34407200,1
Brockwell juniors,Brockwell Park,-0.10650500,51.45260300,1
Bromley juniors,Norman Park,0.02604900,51.38932900,1
Bromsgrove juniors,Sanders Park,-2.07230800,52.33415900,1
Brumby Wood Rec Ground juniors,Brumby Wood Rec Ground,-0.66477800,53.58118600,1
Bryn Bach juniors,Bryn Bach country park,-3.26718400,51.78357100,1
Buckingham juniors,Bourton Park,-0.97538600,51.99723200,1
Burgess juniors,Burgess Park,-0.08266400,51.48320700,1
Burnley juniors,Towneley Park,-2.21903600,53.77738500,1
Burslem Park juniors,Burslem Park,-2.18927200,53.04852700,1
Bury St Edmunds juniors,Bury St Edmunds,0.73469800,52.24445700,1
Bushy juniors,"Bushy Park, Teddington",-0.33263900,51.42050400,1
Cambridge juniors,Milton Country Park,0.16338900,52.23660600,1
Cannon Hill juniors,Cannon Hill Park,-1.90422500,52.44997600,1
Cardiff juniors,Llandaff Fields,-3.20403500,51.48961700,1
Carlisle juniors,Bitts Park,-2.93657500,54.89955500,1
Carmarthen juniors,Carmarthen Park,-4.31598200,51.85416900,1
Central Park juniors,Central Park,-0.23507200,52.58457600,1
Cheddar juniors,Kings Fitness and Leisure,-2.77921000,51.27380800,1
Chelmsford juniors,Central Park,0.46628600,51.73308300,1
Cheltenham juniors,The Park,-2.08886200,51.88649200,1
Cheshunt juniors,Cheshunt Park,-0.04912000,51.71549700,1
Chichester juniors,Priory Park,-0.77661900,50.83969300,1
Chippenham juniors,Monkton Park,-2.11195400,51.46023500,1
Churchill Gardens juniors,Churchill Gardens Leisure Centre,-1.79055900,51.06255900,1
Clacton juniors,Clacton Seafront,1.14295300,51.78158800,1
Cliff Park juniors,Cliff Park,1.28484000,51.93779200,1
Clitheroe Castle juniors,Clitheroe Castle Gardens,-2.39412200,53.87060600,1
Clough Hall juniors,Clough Hall Park,-2.24969900,53.08319400,1
Colchester juniors,Old Heath Recreation Ground,0.91996900,51.87996000,1
Coldham's Common juniors,Coldham's Common,0.15458000,52.20843700,1
Collett Park juniors,Collett Park,-2.54257200,51.18746100,1
Comber juniors,Parkway,-5.73990900,54.54909800,1
Conwy Nature Reserve juniors,Conwy Nature Reserve,-3.80962600,53.27951200,1
Craigswood juniors,Xcite Craigswood,-3.50452400,55.90212600,1
Cranbrook Country Park juniors,Cranbrook Country Park,-3.40813700,50.75135900,1
Cranleigh juniors,Bruce Mckenzie Memorial Field,-0.49274700,51.13839300,1
Cross Flatts juniors,Cross Flatts Park,-1.55824200,53.77661100,1
Crystal Palace juniors,Crystal Palace Park,-0.06577000,51.41979200,1
Dartford juniors,Central Park,0.21906500,51.44107000,1
Daventry juniors,Daventry Sports Park,-1.18851700,52.25500300,1
Derry City juniors,Foyle Arena,-7.30470100,55.00064200,1
Desborough Green Space juniors,Desborough Leisure Centre,-0.81933800,52.44605900,1
Devonport juniors,"Devonport Park,",-4.17210800,50.37647100,1
Dewsbury juniors,Crow Nest Park,-1.64694400,53.68898400,1
Dixton juniors,Monmouth Leisure Centre,-2.70775500,51.81586400,1
Dover juniors,Kearsney Abbey,1.26922800,51.14766000,1
Dukeries juniors,Dukeries Leisure Centre,-0.99720300,53.20790500,1
Duloch juniors,Duloch Country Park,-3.40185700,56.06249300,1
Dumfries juniors,Dock Park,-3.60692400,55.06270700,1
Durham City juniors,Durham Racecourse,-1.56428700,54.77555100,1
Duthie juniors,Duthie Park,-2.10534200,57.13155300,1
Eastbourne juniors,King Edwards Parade,0.28691400,50.76191000,1
Eastney juniors,Bransbury Park,-1.05433400,50.78969800,1
Eastville juniors,Eastville Park,-2.55496100,51.47613200,1
Eaton juniors,Eaton Park,1.25856000,52.61960600,1
Eltham juniors,Eltham Park South,0.06818600,51.45566400,1
Evesham juniors,Evesham,-1.95816900,52.09023000,1
Felixstowe Prom juniors,Felixstowe Prom,1.34572600,51.95778500,1
Florence Park juniors,Florence Park,-1.22380100,51.73748300,1
Forest Rec juniors,Forest Recreation Ground,-1.16049500,52.96523800,1
Forest of Dean juniors,"Coverham Enclosure, Forest of Dean",-2.60521900,51.80870100,1
Friary Park juniors,Friary Park,-0.16218700,51.61970600,1
GEC Rec juniors,GEC Recreational Ground,-1.23995600,52.36556100,1
Gedling juniors,Gedling Country Park,-1.08724100,52.99389000,1
Gnoll juniors,Gnoll Estate Country Park,-3.78722400,51.66242800,1
Gorleston juniors,Gorleston-on-sea,1.73110700,52.56797900,1
Goudhurst juniors,The Glebe Field,0.46344500,51.11369400,1
Grange Paddocks juniors,Grange Paddocks Leisure Centre,0.16239500,51.87764800,1
Graves juniors,Graves Park,-1.46505100,53.33889200,1
Gravesend juniors,Riverside Leisure Area,0.37903900,51.44372400,1
Great Cornard juniors,Great Cornard Sports Centre,0.74941600,52.02359800,1
Great Notley juniors,Great Notley Country Park,0.51556000,51.86377400,1
Guildford juniors,Stoke Park,-0.56746100,51.24497700,1
Hanworth juniors,Hanworth Air Park Leisure Centre & Libra,-0.39159300,51.43938900,1
Harcourt Hill juniors,Harcourt Hill Campus,-1.29518300,51.73934100,1
Harlow juniors,Harlow Town Park,0.09843300,51.77798000,1
Harrogate juniors,The Valley Gardens,-1.55019200,53.99169900,1
Harrow Lodge juniors,Harrow Lodge Park,0.20201300,51.55571800,1
Hawkwell juniors,Clements Hall Recreation Ground,0.67399100,51.59552400,1
Haywards Heath juniors,Victoria Park,-0.10610400,50.99842900,1
Heavitree juniors,Heavitree Pleasure Ground,-3.50130800,50.72309200,1
Helix juniors,Helix Park,-3.75779600,56.00870800,1
Hemlington Lake juniors,Hemlington Lake,-1.24431600,54.52600500,1
Hertford juniors,Hartham Common,-0.07745100,51.80105900,1
Highbury Fields juniors,Highbury Fields,-0.10303800,51.54711300,1
Hilly Fields juniors,Hilly Fields park,-0.02394500,51.45991600,1
Hoblingwell juniors,Hoblingwell Wood Recreation Ground,0.09947800,51.40170100,1
Hogmoor Inclosure juniors,Hogmoor Inclosure,-0.87681500,51.11109300,1
Horsham juniors,Horsham Park,-0.32753000,51.06656800,1
Houghton Hall juniors,Houghton Hall Park,-0.50979900,51.90155500,1
Hove Park juniors,Hove Park,-0.17263800,50.84128800,1
Hucknall juniors,Titchfield Park,-1.20362300,53.02912400,1
Huddersfield juniors,Greenhead Park,-1.79933600,53.64830900,1
Hyde juniors,Hyde Park,-2.07756000,53.45837900,1
Inverleith juniors,Inverleith park,-3.21314300,55.96434300,1
Ipswich juniors,Christchurch Park,1.15930400,52.06523300,1
Jacks Road juniors,NAAC Athletics Arena,-4.79441600,55.64281100,1
Jordanstown juniors,"Ulster University, Jordanstown Campus",-5.88614000,54.68829000,1
Jubilee juniors,Jubilee Park,-0.16582500,52.35916100,1
Kenton Rec juniors,Kenton Recreation Ground,-0.32060800,51.58609300,1
Kesgrave juniors,Kesgrave,1.25657900,52.05817100,1
Keswick juniors,Upper Fitz Park,-3.13508400,54.60262800,1
King George V juniors,King George V Park,-2.13616600,51.37731000,1
King George juniors,King George Recreation Ground,-0.35227500,51.64294300,1
Kings Weston juniors,Kings Weston Estate,-2.66003600,51.49369600,1
Kingâ€™s Lynn juniors,The Walks,0.40587500,52.75289400,1
Knavesmire juniors,The Knavesmire,-1.09557200,53.94147300,1
Lake Meadows juniors,Lake Meadows,0.41788400,51.63313900,1
Lakes juniors,"Leon Leisure Centre, Lakes Estate",-0.72907100,51.98096900,1
Laleham juniors,Thames Side,-0.48883900,51.39946100,1
Larne juniors,Town Park,-5.80714700,54.85760500,1
Lea Bridges juniors,Lea Bridges Park,1.29125100,52.60497500,1
Leatherhead juniors,Leatherhead Leisure Centre,-0.33213500,51.29105600,1
Leavesden juniors,Leavesden Country Park,-0.40303500,51.70526200,1
Leigh juniors,Leigh Sports Village,-2.52634900,53.49011600,1
Leighton Buzzard juniors,Parsonâ€™s Close Recreation Ground,-0.66200500,51.91415500,1
Lesnes Abbey Woods juniors,Lesnes Abbey Woods Park,0.12764000,51.48893600,1
Leyton Jubilee juniors,Leyton Jubilee Park,-0.02818800,51.56385000,1
Little Stoke juniors,Little Stoke Park,-2.55975000,51.52947900,1
Llanelli Coast juniors,King George V Playing Fields,-4.20682800,51.68552900,1
Lloyd juniors,Lloyd Park,-0.08088600,51.36575000,1
Loch Leven juniors,Kirkgate Park,-3.41274200,56.20189200,1
London Fields juniors,London Fields West Side,-0.06037300,51.54217800,1
Long Eaton juniors,West Park Leisure Centre,-1.28833600,52.89516100,1
Longrun Meadow juniors,Longrun Meadow,-3.11508900,51.01719900,1
Longton juniors,Longton Park,-2.13821200,52.97622200,1
Lough Moss juniors,Lough Moss Leisure Centre,-5.90020300,54.51471600,1
Lurgan juniors,Lurgan Park,-6.32131800,54.46245500,1
Lydiard juniors,"Lydiard Park, Swindon",-1.85742300,51.56304800,1
MacRosty juniors,MacRosty Park,-3.84758800,56.37832500,1
Magherafelt juniors,Polepatrick,-6.59678300,54.76174700,1
Maldon Prom juniors,Promenade Park,0.68971300,51.72678900,1
Manor Park juniors,Manor Park,0.40581100,51.28854800,1
Margate juniors,Hartsdown Park,1.37197000,51.38337500,1
Markeaton juniors,Markeaton Park,-1.50360400,52.93413800,1
Market Harborough juniors,Welland Park,-0.92837200,52.47499000,1
Marple juniors,Brabyns Park,-2.05793000,53.40802700,1
Medina I.O.W juniors,Seaclose Park,-1.28881200,50.70709800,1
Medway juniors,Strand Leisure Park,0.56449600,51.39492600,1
Melton Mowbray juniors,Melton Country Park,-0.87776700,52.77432700,1
Mile End juniors,Mile End Park,-0.03473500,51.51860200,1
Milnrow Memorial Park juniors,Milnrow Memorial Park,-2.10291000,53.60420200,1
Milton Keynes juniors,Emerson Valley Sports Pavilion,-0.78208200,52.00218100,1
