Place,Name,Latitude,Longitude,Junior
Canons Park,Canons Park,-0.29618400,51.61229100,0
Canterbury,The Pavillion,1.05700200,51.29946800,0
Cape Pembroke Lighthouse,Cape Pembroke Lighthouse,-57.75771600,-51.68321100,0
Cardiff,Cardiff Blackweir,-3.20710700,51.49736000,0
Carlisle,Chances Park,-2.96345500,54.88602500,0
Carrickfergus,Amphitheatre Wellness Centre,-5.80528500,54.71999200,0
Cassiobury,Cassiobury Park,-0.40633500,51.65767700,0
Castle Howard,Castle Howard,-0.91092500,54.12030300,0
Castle Park,Castle Park,0.16416500,51.87167000,0
Castlewellan,Castlewellan Forest Park,-5.95386000,54.26214700,0
Catford,Mountsfield Park,-0.00863000,51.44824000,0
Catterick,Catterick Racecourse,-1.64650300,54.38553400,0
Catton,Catton Park,1.29550700,52.65669600,0
Centre Vale,Centre Vale Park,-2.10243800,53.71827200,0
Chadderton Hall,Chadderton Hall Park,-2.15855200,53.55406600,0
Chasewater,Chasewater Country Park,-1.94440700,52.66198700,0
Cheadle Hulme,Grove Park Sports Club,-2.21065200,53.37902600,0
Chelmsford Central,Chelmsford Central,0.46494500,51.73257700,0
Cheltenham,Pittville Park,-2.07824000,51.91175400,0
Chester,Countess of Chester Country Park,-2.90236800,53.20779600,0
Chichester,Oaklands Park,-0.77753500,50.84618200,0
Chippenham,Monkton Park,-2.11311900,51.46046900,0
Chipping Norton School,Chipping Norton School,-1.54029000,51.93812000,0
Chipping Sodbury,The Ridings,-2.39716500,51.54436600,0
Churchfields Farm,Churchfields Farm,-2.18395800,52.25205500,0
Cirencester,Royal Agricultural University,-1.99109000,51.71120700,0
Citypark,"Citypark Park, Craigavon",-6.38600200,54.45109300,0
Clacton Seafront,Clacton Seafront,1.14297400,51.78157400,0
Clair,Clair Park,-0.10014300,51.00432200,0
Clapham Common,Clapham Common,-0.15133100,51.45587300,0
Clare Castle,Clare Castle Country Park,0.58188200,52.07642800,0
Cleethorpes,Cleethorpes Country Park,-0.02538400,53.54155200,0
Clevedon Salthouse Fields,Clevedon Salthouse Park,-2.86650500,51.43457300,0
Cliffe Castle,Cliffe Castle Park,-1.91336400,53.87465800,0
Clifton,Clifton Playing Fields,-1.16303300,52.90714400,0
Clitheroe Castle,Clitheroe Castle Gardens,-2.39478000,53.87034600,0
Clumber Park,Clumber Park,-1.06571700,53.26802200,0
Colby,Colby Woodland Garden,-4.66992400,51.74064000,0
Colchester Castle,Castle Park,0.90272400,51.89167000,0
Coldham's Common,Coldham's Common,0.15888100,52.20670500,0
Colin Glen,Colin Glen Forest Park,-6.02050400,54.57072300,0
Colney Lane,UEA Colney Lane Playing Fields,1.22519000,52.62131700,0
Colwick,"Colwick Country Park, Nottingham",-1.09786000,52.94517100,0
Comber,Parkway,-5.74041500,54.54959300,0
Concord,"Concord Park, Sheffield",-1.44161200,53.42400700,0
Congleton,Astbury Mere,-2.22979500,53.16078100,0
Conkers,Conkers Park,-1.54302100,52.73947500,0
Conwy,"RSPB Nature Reserve, Conwy",-3.80896600,53.27938800,0
Conyngham Hall,Conyngham Hall,-1.47950700,54.01175800,0
Corby,West Glebe Recreation Ground,-0.69177400,52.49387900,0
Cosmeston Lakes,Cosmeston Lakes Country Park,-3.18561500,51.41804700,0
Cotsford Fields,Cotsford Fields,-1.30077000,54.75949900,0
Coventry,"War Memorial Park, Coventry",-1.52402600,52.39172000,0
Crane Park,"Crane Park, Twickenham",-0.37207500,51.44116800,0
Cranleigh,Bruce McKenzie Memorial Field,-0.49151000,51.13819000,0
Crathes Castle,Crathes Castle,-2.44095400,57.06117800,0
Crewe,Queens Park,-2.47055600,53.09738800,0
Crichton,The Crichton,-3.59458900,55.05077300,0
Crosby,Crosby Leisure Centre,-3.04671100,53.48269000,0
Cross Flatts,Cross Flatts Park,-1.55757000,53.77575400,0
Croxteth Hall,Croxteth Hall Country Park,-2.89177400,53.44217000,0
Crystal Palace,Crystal Palace Park,-0.06570300,51.41984600,0
Cuerden Valley,Cuerden Valley Park,-2.65944200,53.70861400,0
Cusworth Hall,Cusworth Hall Museum & Park,-1.17761700,53.52947900,0
Cwmbran,Northfields Recreation Ground,-3.01349800,51.65623400,0
Cyclopark,Cyclopark,0.35256100,51.41992200,0
Dalby Forest,Dalby Forest Courtyard,-0.68659900,54.27382100,0
Darlington South Park,South Park,-1.56053100,54.51484000,0
Dartford Heath,Heath Lane,0.18992900,51.43593200,0
Dartford,Central Park,0.22016600,51.43914100,0
Daventry,Daventry Country Park,-1.15732000,52.26237400,0
Dean Castle Country Park,Dean Castle Country Park,-4.48293200,55.62290100,0
Delamere,Delamere Forest,-2.68796000,53.23953700,0
Derry City,Derry City Centre,-7.31893300,55.00696600,0
Dewsbury,"Crow Nest Park, Dewsbury",-1.64627500,53.68821800,0
Didcot,Ladygrove Park,-1.23900000,51.61279200,0
Dinton Pastures,Dinton Pastures Country Park,-0.88005600,51.44029200,0
"Dishley, Loughborough",Loughborough Rugby Club,-1.23478500,52.78748500,0
Dolgellau,The Marian,-3.88652700,52.74457400,0
Doncaster,Sandall Park,-1.08909500,53.54532000,0
Drumchapel,Garscadden Woods East,-4.35067400,55.91688000,0
Drumpellier Country,Drumpellier Country Park,-4.06561500,55.87158800,0
Druridge Bay,Druridge Bay Country Park,-1.57234800,55.29276500,0
Dudley,The Dell Stadium,-2.13456800,52.49002700,0
Dulwich,"Dulwich Park, Dulwich",-0.07920600,51.44386900,0
Dunfermline,Pittencrieff Park,-3.47069400,56.07068400,0
Dungannon Park,Dungannon Park,-6.75535900,54.48943200,0
Dunstable Downs,Dunstable Downs,-0.53779100,51.86543200,0
Durham,"Graham Sports Centre, Durham",-1.55885200,54.76760500,0
East Brighton,East Brighton Park,-0.09937300,50.81869100,0
East Grinstead,East Court,0.00137300,51.12900800,0
East Park,East Park,-2.10197500,52.57904200,0
Eastbourne,"Shinewater Park, Eastbourne",0.29045100,50.80624800,0
Eastleigh,"Fleming Park Old Golf Course, Eastleigh",-1.37403200,50.97143300,0
Eastville,Eastville Park,-2.55430400,51.47545300,0
